"HH1","HH2","UF4","Index_Birth_Registered_R","Index_Disabled_Child_R","Index_Mother_Disabled_R"
1,8,2,1,NA,0
1,8,2,1,0,0
1,12,4,1,0,1
1,12,4,1,0,1
1,13,2,1,0,0
1,13,2,1,0,0
1,18,2,1,0,1
1,21,1,1,0,0
1,24,1,1,1,1
1,25,1,1,NA,0
1,25,1,1,NA,0
2,10,3,1,0,0
2,10,3,1,0,0
3,4,2,1,NA,1
3,4,2,1,0,1
3,11,2,1,0,0
3,11,2,1,0,0
3,11,5,1,0,1
3,13,2,1,1,1
3,14,2,1,NA,1
3,16,3,1,0,0
3,16,3,1,0,0
3,17,2,1,NA,1
4,11,2,1,1,1
4,14,2,1,NA,0
4,18,2,1,0,1
4,20,4,1,0,1
5,3,1,1,0,NA
5,6,4,1,0,1
5,7,4,1,NA,0
5,7,4,1,NA,0
5,8,2,1,NA,0
5,10,4,1,0,1
5,12,2,1,NA,0
5,17,4,1,NA,1
5,17,4,1,0,1
5,19,2,1,NA,0
5,20,2,1,0,1
6,6,2,1,NA,0
6,10,3,1,NA,1
6,10,3,1,0,1
6,11,4,1,0,1
6,12,1,1,0,NA
6,13,9,1,NA,0
6,13,9,1,0,0
6,14,2,1,0,1
6,19,2,1,0,1
6,20,4,1,0,1
7,3,2,1,NA,1
7,10,3,1,0,1
7,12,3,1,NA,1
7,13,2,1,NA,0
7,14,4,NA,NA,NA
8,1,2,1,0,0
8,1,2,1,0,0
8,4,3,1,0,1
8,4,3,1,0,1
8,6,3,1,NA,0
8,10,1,1,0,1
8,10,1,1,0,1
8,12,2,1,0,1
8,13,4,1,0,1
8,14,2,1,0,0
8,18,1,1,0,0
8,19,1,1,0,1
8,21,2,1,0,0
8,21,2,1,0,0
9,3,2,1,0,0
9,3,2,1,0,0
9,4,2,1,1,1
9,6,2,1,0,1
9,7,4,1,0,1
9,8,4,NA,NA,NA
9,8,4,NA,NA,NA
9,9,4,1,0,1
9,9,4,1,0,1
9,11,2,1,NA,1
9,12,3,1,NA,0
9,12,3,1,0,0
9,12,3,1,0,0
9,14,2,0,0,1
